GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APLBE001,APLBE002,APLBE003,APLBE004,APLBE005,APLBE006,APYUE001,APYUE002,APYUE003,APYUE004,APYUE005,APYUE006,APYUE007,APYUE008,APYUE009,APYUE010,APYUE011,APYUE012,APYUE013,APYUE014,APYUE015,APYUE016,APYUE017,APYUE018,APYUE019,APYUE020,APYUE021,APYUE022,APYUE023,APYUE024,APYUE025,APYUE026,APYUE027,APYUE028,APYUE029,APYUE030,APYUE031,APYUE032,APYUE033,APYUE034,APYUE035,APYUE036,APYUE037,APYUE038,APYUE039,APYUE040,APYUE041,APYUE042,APYUE043,APYUE044,APYUE045,APYUE046,APYUE047,APYUE048,APYUE049,APYUE050,APYUE051,APYUE052,APYUE053,APYUE054,APYUE055,APYUE056,APYUE057,APYUE058,APYUE059,AP38E001,NAME_M,APLBM001,APLBM002,APLBM003,APLBM004,APLBM005,APLBM006,APYUM001,APYUM002,APYUM003,APYUM004,APYUM005,APYUM006,APYUM007,APYUM008,APYUM009,APYUM010,APYUM011,APYUM012,APYUM013,APYUM014,APYUM015,APYUM016,APYUM017,APYUM018,APYUM019,APYUM020,APYUM021,APYUM022,APYUM023,APYUM024,APYUM025,APYUM026,APYUM027,APYUM028,APYUM029,APYUM030,APYUM031,APYUM032,APYUM033,APYUM034,APYUM035,APYUM036,APYUM037,APYUM038,APYUM039,APYUM040,APYUM041,APYUM042,APYUM043,APYUM044,APYUM045,APYUM046,APYUM047,APYUM048,APYUM049,APYUM050,APYUM051,APYUM052,APYUM053,APYUM054,APYUM055,APYUM056,APYUM057,APYUM058,APYUM059,AP38M001
"G0100830","2022","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"0500000US01083","01083","Limestone County, Alabama",110900,104868,425,985,1486,3136,107692,10200,4630,695,0,857,739,185,69,398,205,126,235,257,596,268,5570,7,0,77,1145,0,0,230,776,276,1065,797,733,464,97492,48701,2119,68,4576,1519,333,1411,4255,7008,5991,7529,6841,4462,2589,48791,2419,229,4743,1426,287,1155,2759,6006,7485,7125,6860,4493,3804,0.4325,"Limestone County, Alabama",,1875,583,989,624,1485,723,2930,2138,735,208,574,550,306,125,358,351,165,321,194,553,364,1931,13,208,134,1282,208,208,164,676,298,757,520,388,412,2769,1571,185,120,1040,622,373,698,733,963,528,874,661,481,541,2044,384,257,1249,593,389,691,324,781,976,992,668,355,558,0.0275
"G0100890","2022","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"0500000US01089","01089","Madison County, Alabama",403565,375659,894,5464,10847,10701,393100,44774,18374,950,147,1115,784,412,641,3389,2726,2258,1644,2904,867,537,26400,3315,1168,1819,475,467,433,4331,3315,2342,2295,2571,2224,1645,348326,176786,10666,2485,12849,6613,2279,4525,14527,25648,24292,21553,24917,16109,10323,171540,7182,3000,10862,6560,2398,4000,10871,24331,24420,21444,25375,17589,13508,0.4729,"Madison County, Alabama",,3540,609,1207,2174,2955,529,6668,3187,588,171,714,549,465,397,1143,1178,869,768,999,667,407,4662,1194,1072,1128,539,438,517,1362,1173,991,908,1050,798,657,6718,3533,829,836,1661,1156,791,976,1444,1210,1015,866,1062,829,536,4698,1150,984,1646,1423,799,788,1531,1179,1082,1162,1045,916,752,0.0171
"G0100950","2022","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"0500000US01095","01095","Marshall County, Alabama",99423,92466,26,373,2128,4430,98096,16625,6053,660,48,686,244,123,111,534,769,973,413,540,814,138,10572,1260,171,1153,322,476,526,671,1109,1641,1164,715,754,610,81471,42047,2874,771,3463,1943,512,1434,3870,4775,5124,5175,5672,3844,2590,39424,2188,440,3432,1389,180,915,3392,4528,4290,4895,5549,4866,3360,0.4640,"Marshall County, Alabama",,1672,49,332,1368,1469,856,2749,1285,355,72,477,154,172,82,346,336,606,248,291,504,146,1961,637,129,591,220,263,260,310,440,545,495,439,349,362,2913,1511,385,477,819,674,256,260,386,699,759,464,326,497,157,1920,606,350,925,741,152,411,408,507,554,452,469,370,406,0.0217
"G0100970","2022","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"0500000US01097","01097","Mobile County, Alabama",411411,395694,850,1886,7739,5242,403371,77232,30514,3638,713,4781,1995,431,368,3147,2140,2541,2983,4309,2050,1418,46718,4366,310,4904,2068,640,1534,5091,7080,5392,3380,5567,3177,3209,326139,161959,9370,1952,10419,6819,2634,4629,13179,25133,20981,19208,20144,17622,9869,164180,7963,1835,10630,5610,3038,3428,11640,22611,20900,21669,22332,19357,13167,0.4901,"Mobile County, Alabama",,3151,629,845,1821,2395,598,7109,4154,1170,537,1347,792,323,311,879,949,963,1078,1038,854,659,4391,1216,271,1422,901,522,955,1211,1445,1216,993,1184,784,892,7151,4126,1255,783,1858,1772,866,896,991,947,1172,1145,1133,909,789,4612,1248,1097,1351,1214,863,1104,1292,1595,1255,1063,1250,853,922,0.0172
"G0101010","2022","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"0500000US01101","01101","Montgomery County, Alabama",226361,212724,495,2591,3316,7235,216621,37581,15430,1784,530,2699,638,289,74,1773,1892,1189,1146,2236,997,183,22151,2755,291,2948,785,581,551,2286,3379,2340,1953,1933,1248,1101,179040,85351,5620,1243,5602,4041,1341,3078,7098,13230,11314,9568,9467,8341,5408,93689,4972,836,5393,2867,307,2554,6958,14137,12184,11755,13229,11129,7368,0.4625,"Montgomery County, Alabama",,2028,523,1332,759,1189,1624,7157,2978,1213,522,1163,521,353,122,836,822,869,525,682,527,181,4834,989,477,1263,815,513,629,1160,1160,1075,975,788,575,426,6987,3274,1239,634,1517,1256,853,680,1076,1013,1043,729,784,542,321,4643,1087,727,1432,943,316,725,1222,1380,1182,1083,936,597,434,0.0267
"G0101030","2022","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"0500000US01103","01103","Morgan County, Alabama",124211,115375,165,596,2333,5742,121914,15221,6968,949,0,494,202,91,118,572,1655,757,435,514,713,468,8253,886,38,670,625,107,109,771,1156,683,905,1383,480,440,106693,52541,2379,1007,5065,1931,512,1562,4981,4993,6543,7373,7456,5556,3183,54152,2349,456,3614,2299,706,1828,4307,5890,7003,6915,7442,6761,4582,0.4386,"Morgan County, Alabama",,3242,264,445,1010,2370,316,3099,1855,758,208,357,233,122,147,380,993,581,479,332,380,426,1827,637,60,482,414,149,130,437,653,388,628,530,255,260,3058,2065,659,523,1080,735,365,596,651,1434,799,791,359,492,465,1659,478,316,913,718,344,618,891,901,819,861,618,374,355,0.0306
"G0101150","2022","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"0500000US01115","01115","St. Clair County, Alabama",93932,92138,0,297,956,541,91813,12040,5099,1127,0,766,235,35,290,415,340,261,401,605,394,230,6941,231,304,451,306,109,163,567,830,713,1041,1144,569,513,79773,39988,1668,406,2416,2480,414,1127,3093,5267,5662,5639,5346,4009,2461,39785,1851,296,3499,821,436,1271,2900,4969,5199,5313,5067,4994,3169,0.4151,"St. Clair County, Alabama",,838,208,183,585,409,257,2622,1355,515,208,435,188,56,239,333,334,268,358,453,304,211,1784,228,291,333,243,139,163,444,433,313,532,591,292,361,2649,1492,535,310,565,530,317,395,504,451,587,509,501,382,265,1797,252,265,767,462,293,343,642,648,448,634,674,555,499,0.0288
"G0101170","2022","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"0500000US01117","01117","Shelby County, Alabama",230115,216936,159,1492,5988,5540,226033,14066,6218,663,126,592,73,118,44,266,705,396,942,688,435,1170,7848,310,118,641,121,170,13,1157,422,393,560,978,1387,1578,211967,103998,5145,1127,8879,3692,1504,3315,9972,11807,15040,14617,13283,10499,5118,107969,5328,594,8527,5014,1430,2863,7835,12789,15816,15325,13914,10896,7638,0.4134,"Shelby County, Alabama",,1382,180,586,1376,1039,476,3132,1720,636,154,575,87,184,80,249,417,252,574,431,310,616,1784,431,194,445,140,239,25,641,309,273,342,525,655,889,3126,1614,747,497,1066,1147,376,438,667,819,916,1058,571,511,603,2129,692,349,926,813,515,500,721,791,559,495,618,691,886,0.0179
"G0101210","2022","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"0500000US01121","01121","Talladega County, Alabama",80704,79003,0,230,583,888,77427,13948,5456,603,400,502,0,139,189,433,252,836,651,318,680,453,8492,125,193,1389,0,298,371,584,1635,1546,367,890,527,567,63479,29888,1532,174,2310,188,346,646,1948,4700,3258,4402,4632,3851,1901,33591,1879,1356,1422,945,412,744,1815,4596,3354,4722,5087,4486,2773,0.5205,"Talladega County, Alabama",,774,208,265,461,707,227,3336,1507,501,386,444,208,224,271,503,276,533,517,218,405,272,2533,131,286,1123,208,302,334,558,1122,878,273,411,295,295,3341,1286,592,262,508,175,287,304,278,595,558,509,253,494,373,2609,595,966,726,792,344,419,433,1262,663,1016,603,305,308,0.0826
"G0101250","2022","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"0500000US01125","01125","Tuscaloosa County, Alabama",236780,225624,213,1627,4800,4516,220784,36862,15040,1536,71,1769,1713,257,166,4312,1427,791,535,1292,909,262,21822,1515,304,1512,938,0,208,6623,3220,2231,787,1737,1440,1307,183922,91061,4574,298,6436,3090,1390,1577,13035,13449,12064,11601,10690,8408,4449,92861,4987,769,6329,3742,1041,1752,9688,13539,12269,12272,10974,9689,5810,0.4827,"Tuscaloosa County, Alabama",,2299,288,903,1829,1315,1099,5203,2827,687,124,876,721,222,135,1702,598,574,369,798,421,203,3443,977,277,733,507,208,198,1702,1065,958,556,596,548,613,5345,3017,655,220,1462,743,464,567,2030,1068,519,453,859,455,204,3635,1010,504,1166,1010,441,972,2426,1043,785,662,565,810,669,0.0210
"G0200200","2022","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"0500000US02020","02020","Anchorage Municipality, Alaska",287145,247624,2637,7142,21317,8425,281166,31222,14514,2452,181,2352,93,72,146,1763,2325,1924,858,1084,744,520,16708,2496,298,414,1346,404,307,1928,2258,2684,717,1557,1143,1156,249944,127505,6170,1423,9079,6428,1894,2332,11889,21531,19722,15725,15750,10843,4719,122439,7137,1665,10694,4064,1893,3218,9040,20222,18474,15114,14064,11371,5483,0.4326,"Anchorage Municipality, Alaska",,4044,1219,2311,2779,1712,731,5875,2875,957,326,1108,168,121,177,646,841,859,467,583,452,291,3850,1060,271,326,1000,296,372,821,935,1117,484,688,543,568,5986,3026,912,596,1462,1472,779,740,904,1309,1500,1197,626,736,348,3894,1057,739,1315,1299,1151,1368,1127,1448,1232,1030,719,789,743,0.0220
"G0200900","2022","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"0500000US02090","02090","Fairbanks North Star Borough, Alaska",95356,85979,1119,2567,2304,3387,91659,6528,3239,333,39,78,0,0,0,143,559,280,593,517,575,122,3289,209,0,267,0,52,126,129,924,448,361,522,54,197,85131,46725,3131,409,4232,1775,1163,779,5536,9303,6178,3819,4953,3691,1756,38406,2933,499,2786,1227,478,922,4099,6622,5488,4261,4180,3096,1815,0.3924,"Fairbanks North Star Borough, Alaska",,1868,651,1047,689,1208,241,2012,990,298,67,133,170,170,170,189,348,195,498,385,536,160,1389,226,170,328,170,115,216,173,464,473,385,372,91,172,2013,1505,1208,279,796,675,426,493,1010,1069,586,718,790,291,276,1927,570,383,646,438,419,404,737,720,716,771,609,139,365,0.0358
"G0201700","2022","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"0500000US02170","02170","Matanuska-Susitna Borough, Alaska",113325,108834,235,954,2153,1149,110111,11501,5573,540,64,717,564,29,187,649,284,705,438,602,770,24,5928,560,0,197,322,90,454,380,1157,916,227,1073,405,147,98610,51049,3090,235,4377,2442,907,1406,4380,7993,7355,6070,6243,4415,2136,47561,2510,866,4580,2126,543,1448,3596,6030,6859,5950,5731,4930,2392,0.4028,"Matanuska-Susitna Borough, Alaska",,1146,248,508,530,665,606,2289,1491,378,103,350,328,50,154,334,277,403,280,245,760,11,1183,312,170,170,286,102,322,219,532,320,206,415,230,93,2326,1631,489,153,708,526,257,304,574,576,607,572,293,771,99,1159,386,315,563,487,223,297,344,595,509,308,425,276,155,0.0206
"G0400010","2022","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"0500000US04001","04001","Apache County, Arizona",65432,64835,0,0,170,427,64254,18087,8712,830,119,994,560,102,230,668,1015,923,891,1358,759,263,9375,893,85,1062,319,167,227,879,1238,861,727,1167,992,758,46167,22762,1080,160,2094,1052,353,805,2370,3166,3036,2123,2600,2486,1437,23405,973,217,2325,1137,112,944,2103,2844,3029,2385,3076,2676,1584,0.5302,"Apache County, Arizona",,214,228,228,122,175,118,2518,1283,290,90,297,267,69,123,260,303,361,304,370,320,90,1459,414,91,362,178,152,132,308,500,292,302,376,236,213,2521,1494,418,138,589,385,144,242,442,493,537,496,418,411,419,1296,329,150,531,312,87,240,385,438,588,348,320,261,220,0.0260
"G0400030","2022","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"0500000US04003","04003","Cochise County, Arizona",125663,109031,914,1703,9190,4825,120607,21421,9270,995,13,917,724,90,300,843,1343,998,533,826,1066,622,12151,761,43,1110,779,361,266,1057,1706,1509,1323,1087,978,1171,99186,50303,1951,375,3581,2047,648,1580,3849,6645,5604,4891,6139,7241,5752,48883,2119,752,2464,1902,818,719,3545,4754,5543,5264,7507,7861,5635,0.4484,"Cochise County, Arizona",,1772,548,798,1660,1146,627,3365,1571,453,22,416,409,109,324,528,597,444,417,389,460,362,2591,387,72,679,483,303,254,717,685,636,670,506,394,558,3497,1930,487,235,718,782,369,439,686,900,502,551,471,553,425,2597,470,399,770,830,360,292,871,666,958,666,605,476,548,0.0218
"G0400050","2022","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"0500000US04005","04005","Coconino County, Arizona",144060,135661,202,991,3483,3723,133203,22639,11176,929,59,688,653,260,0,2918,656,874,1106,1490,1359,184,11463,639,0,1117,1172,170,189,3224,1198,1100,363,1378,386,527,110564,55038,2471,1019,3981,1419,474,1095,6346,10026,7483,6122,6636,4951,3015,55526,2770,559,3781,1506,994,1580,5941,8594,6435,6802,6526,6519,3519,0.4596,"Coconino County, Arizona",,1685,185,527,893,1208,425,3959,2359,545,69,474,393,257,228,1160,395,360,530,761,804,137,2243,478,228,468,516,163,176,1000,563,659,211,435,221,247,3904,2399,576,447,749,556,272,456,1347,1114,712,669,815,912,152,2271,699,342,802,543,480,593,1064,712,778,540,513,272,291,0.0268
"G0400130","2022","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"0500000US04013","04013","Maricopa County, Arizona",4551524,3824311,8649,58183,318905,341476,4486042,483305,220813,17397,4175,24231,11553,4538,7958,26309,26961,25543,20580,21880,18723,10965,262492,19182,3358,25382,9785,3792,8240,32125,37657,31517,22629,25837,24051,18937,4002737,2011819,109902,21558,147073,83003,29566,53426,188508,310563,278050,256480,235062,173094,125534,1990918,103419,21948,145037,71269,28216,51514,169390,287008,263617,254408,241028,197561,156503,0.4576,"Maricopa County, Arizona",,19153,2246,5395,13019,13807,3156,22521,12530,2869,1327,3829,2301,1368,1944,3975,3611,3071,3006,2714,2274,1689,12926,2954,1125,3627,2457,1263,1681,3734,4257,2934,2757,2726,2648,2123,22526,12654,3126,2406,6092,5289,2399,2653,4313,4015,3027,2819,2734,2427,1754,13146,3003,2975,5392,5010,2572,2991,3686,4306,2964,2890,2654,2637,2221,0.0071
"G0400150","2022","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"0500000US04015","04015","Mohave County, Arizona",220816,207053,328,1588,8124,3723,215093,36518,16368,498,145,1269,903,301,752,1726,921,1102,1784,3508,2491,968,20150,1110,439,1264,813,69,568,1897,1890,2412,2401,2989,2738,1560,178575,91059,4100,675,5279,1425,620,1649,4883,9791,9538,8964,12860,17239,14036,87516,2476,831,3266,2693,1263,1921,4089,8368,7308,9013,14938,17608,13742,0.5238,"Mohave County, Arizona",,2724,181,783,2601,1418,957,5251,2975,393,153,664,507,308,521,845,550,519,926,943,808,566,2968,678,406,559,482,106,449,906,697,951,811,726,810,593,5202,3095,1075,364,992,622,488,705,863,892,1080,911,1040,849,602,2860,745,509,896,830,417,640,1192,1196,1193,1057,752,760,779,0.0728
"G0400170","2022","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"0500000US04017","04017","Navajo County, Arizona",108650,105392,71,576,1728,883,106297,29857,13072,1034,147,1350,1003,104,432,1060,2072,1419,1023,1787,851,790,16785,1373,167,1844,1052,341,775,1846,2579,1443,1219,1555,1726,865,76440,39102,1803,736,2394,2383,297,1527,3348,4039,4502,4676,4858,5305,3234,37338,2108,220,3229,1407,528,729,2647,3713,4125,4345,6022,4871,3394,0.4760,"Navajo County, Arizona",,852,128,374,695,429,381,5452,2777,522,188,602,766,80,222,699,678,551,409,566,411,333,3089,363,158,570,564,247,401,825,779,625,543,534,538,354,5471,2794,510,511,635,924,222,377,870,729,710,616,640,481,353,3159,546,190,686,500,288,327,812,797,633,581,450,543,430,0.0283
